condition,eval_slice,eval_start,k,layer,layer_group,layers,random_seed,score_sum,selected_features,selector,variant
random,4:8,4,2048,19,early_late,"12,13,14,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,20,early_late,"12,13,14,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,1024,12,early_late,"12,13,14,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,13,early_late,"12,13,14,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,14,early_late,"12,13,14,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,18,early_late,"12,13,14,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,19,early_late,"12,13,14,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,20,early_late,"12,13,14,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,2048,12,early_late,"12,13,14,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,13,early_late,"12,13,14,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,14,early_late,"12,13,14,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,18,early_late,"12,13,14,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,19,early_late,"12,13,14,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,20,early_late,"12,13,14,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,1024,12,early_late,"12,13,14,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,13,early_late,"12,13,14,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,14,early_late,"12,13,14,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,18,early_late,"12,13,14,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,19,early_late,"12,13,14,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,20,early_late,"12,13,14,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,2048,12,early_late,"12,13,14,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,13,early_late,"12,13,14,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,14,early_late,"12,13,14,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,18,early_late,"12,13,14,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,19,early_late,"12,13,14,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,20,early_late,"12,13,14,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,1024,12,early_late,"12,13,14,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,13,early_late,"12,13,14,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,14,early_late,"12,13,14,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,18,early_late,"12,13,14,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,19,early_late,"12,13,14,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,20,early_late,"12,13,14,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,2048,12,early_late,"12,13,14,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,13,early_late,"12,13,14,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,14,early_late,"12,13,14,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,18,early_late,"12,13,14,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,19,early_late,"12,13,14,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,20,early_late,"12,13,14,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,1024,12,early_late,"12,13,14,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,13,early_late,"12,13,14,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,14,early_late,"12,13,14,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,18,early_late,"12,13,14,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,19,early_late,"12,13,14,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,20,early_late,"12,13,14,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,2048,12,early_late,"12,13,14,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,13,early_late,"12,13,14,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,14,early_late,"12,13,14,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,18,early_late,"12,13,14,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,19,early_late,"12,13,14,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,20,early_late,"12,13,14,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
deterministic,8:12,8,all,12,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,13,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,14,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,15,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,16,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,17,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,18,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,19,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,20,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,12,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,13,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,14,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,15,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,16,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,17,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,18,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,19,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,20,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,1024,12,all,"12,13,14,15,16,17,18,19,20",,10738.267578125,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,13,all,"12,13,14,15,16,17,18,19,20",,12907.3076171875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,14,all,"12,13,14,15,16,17,18,19,20",,13504.689453125,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,15,all,"12,13,14,15,16,17,18,19,20",,12030.822265625,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,16,all,"12,13,14,15,16,17,18,19,20",,13853.7421875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,17,all,"12,13,14,15,16,17,18,19,20",,15506.955078125,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,18,all,"12,13,14,15,16,17,18,19,20",,20827.794921875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,19,all,"12,13,14,15,16,17,18,19,20",,21510.296875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,20,all,"12,13,14,15,16,17,18,19,20",,20598.587890625,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,2048,12,all,"12,13,14,15,16,17,18,19,20",,12973.1572265625,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,13,all,"12,13,14,15,16,17,18,19,20",,15489.8251953125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,14,all,"12,13,14,15,16,17,18,19,20",,16410.9765625,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,15,all,"12,13,14,15,16,17,18,19,20",,14943.994140625,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,16,all,"12,13,14,15,16,17,18,19,20",,16958.275390625,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,17,all,"12,13,14,15,16,17,18,19,20",,19372.220703125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,18,all,"12,13,14,15,16,17,18,19,20",,26874.6015625,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,19,all,"12,13,14,15,16,17,18,19,20",,27629.73046875,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,20,all,"12,13,14,15,16,17,18,19,20",,26142.25390625,2048,delta_abs,mix_decode_delta_abs_k2048
random,8:12,8,1024,12,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,13,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,14,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,15,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,16,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,17,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,18,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,19,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,20,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,2048,12,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,13,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,14,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,15,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,16,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,17,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,18,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,19,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,20,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,1024,12,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,13,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,14,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,15,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,16,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,17,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,18,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,19,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,20,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,2048,12,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,13,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,14,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,15,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,16,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,17,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,18,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,19,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,20,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,1024,12,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,13,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,14,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,15,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,16,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,17,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,18,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,19,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,20,all,"12,13,14,15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,2048,12,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,13,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,14,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,15,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,16,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,17,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,18,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,19,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,20,all,"12,13,14,15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,1024,12,all,"12,13,14,15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,13,all,"12,13,14,15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,14,all,"12,13,14,15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,15,all,"12,13,14,15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,16,all,"12,13,14,15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,17,all,"12,13,14,15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,18,all,"12,13,14,15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,19,all,"12,13,14,15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,20,all,"12,13,14,15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,2048,12,all,"12,13,14,15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,13,all,"12,13,14,15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,14,all,"12,13,14,15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,15,all,"12,13,14,15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,16,all,"12,13,14,15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,17,all,"12,13,14,15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,18,all,"12,13,14,15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,19,all,"12,13,14,15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,20,all,"12,13,14,15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,1024,12,all,"12,13,14,15,16,17,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,13,all,"12,13,14,15,16,17,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,14,all,"12,13,14,15,16,17,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,15,all,"12,13,14,15,16,17,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,16,all,"12,13,14,15,16,17,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,17,all,"12,13,14,15,16,17,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,18,all,"12,13,14,15,16,17,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,19,all,"12,13,14,15,16,17,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,20,all,"12,13,14,15,16,17,18,19,20",4,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,2048,12,all,"12,13,14,15,16,17,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,13,all,"12,13,14,15,16,17,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,14,all,"12,13,14,15,16,17,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,15,all,"12,13,14,15,16,17,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,16,all,"12,13,14,15,16,17,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,17,all,"12,13,14,15,16,17,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,18,all,"12,13,14,15,16,17,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,19,all,"12,13,14,15,16,17,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,20,all,"12,13,14,15,16,17,18,19,20",4,,2048,random_active,mix_decode_random_active_k2048
deterministic,8:12,8,all,15,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,16,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,17,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,18,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,19,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,20,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,15,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,16,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,17,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,18,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,19,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,20,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,1024,15,mid_late,"15,16,17,18,19,20",,12030.822265625,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,16,mid_late,"15,16,17,18,19,20",,13853.7421875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,17,mid_late,"15,16,17,18,19,20",,15506.955078125,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,18,mid_late,"15,16,17,18,19,20",,20827.794921875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,19,mid_late,"15,16,17,18,19,20",,21510.296875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,20,mid_late,"15,16,17,18,19,20",,20598.587890625,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,2048,15,mid_late,"15,16,17,18,19,20",,14943.994140625,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,16,mid_late,"15,16,17,18,19,20",,16958.275390625,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,17,mid_late,"15,16,17,18,19,20",,19372.220703125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,18,mid_late,"15,16,17,18,19,20",,26874.6015625,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,19,mid_late,"15,16,17,18,19,20",,27629.73046875,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,8:12,8,2048,20,mid_late,"15,16,17,18,19,20",,26142.25390625,2048,delta_abs,mix_decode_delta_abs_k2048
random,8:12,8,1024,15,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,16,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,17,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,18,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,19,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,20,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,2048,15,mid_late,"15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,16,mid_late,"15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,17,mid_late,"15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,18,mid_late,"15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,19,mid_late,"15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,20,mid_late,"15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,1024,15,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,16,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,17,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,18,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,19,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,20,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,2048,15,mid_late,"15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,16,mid_late,"15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,17,mid_late,"15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,18,mid_late,"15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,19,mid_late,"15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,20,mid_late,"15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,1024,15,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,16,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,17,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,18,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,19,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,20,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,2048,15,mid_late,"15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,16,mid_late,"15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,17,mid_late,"15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,18,mid_late,"15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,19,mid_late,"15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,20,mid_late,"15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,1024,15,mid_late,"15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,16,mid_late,"15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,17,mid_late,"15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,18,mid_late,"15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,19,mid_late,"15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,1024,20,mid_late,"15,16,17,18,19,20",3,,1024,random_active,mix_decode_random_active_k1024
random,8:12,8,2048,15,mid_late,"15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,16,mid_late,"15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,17,mid_late,"15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
random,8:12,8,2048,18,mid_late,"15,16,17,18,19,20",3,,2048,random_active,mix_decode_random_active_k2048
